# Cleaned name list, result of name_preprocessor.py on yob2021.txt
Olivia,F
Emma,F
Charlotte,F
Amelia,F
Ava,F
Sophia,F
Isabella,F
Mia,F
Evelyn,F
Harper,F
Luna,F
Camila,F
Gianna,F
Elizabeth,F
Eleanor,F
Ella,F
Abigail,F
Sofia,F
Avery,F
Scarlett,F
Emily,F
Aria,F
Penelope,F
Chloe,F
Layla,F
Mila,F
Nora,F
Hazel,F
Madison,F
Ellie,F
Lily,F
Nova,F
Isla,F
Grace,F
Violet,F
Aurora,F
Riley,F
Zoey,F
Willow,F
Emilia,F
Stella,F
Zoe,F
Victoria,F
Hannah,F
Addison,F
Leah,F
Lucy,F
Eliana,F
Ivy,F
Everly,F
Lillian,F
Paisley,F
Elena,F
Naomi,F
Maya,F
Natalie,F
Kinsley,F
Delilah,F
Claire,F
Audrey,F
Aaliyah,F
Ruby,F
Brooklyn,F
Alice,F
Aubrey,F
Autumn,F
Leilani,F
Savannah,F
Valentina,F
Kennedy,F
Madelyn,F
Josephine,F
Bella,F
Skylar,F
Genesis,F
Sophie,F
Hailey,F
Sadie,F
Natalia,F
Quinn,F
Caroline,F
Allison,F
Gabriella,F
Anna,F
Serenity,F
Nevaeh,F
Cora,F
Ariana,F
Emery,F
Lydia,F
Jade,F
Sarah,F
Eva,F
Adeline,F
Madeline,F
Piper,F
Rylee,F
Athena,F
Peyton,F
Everleigh,F
Vivian,F
Clara,F
Raelynn,F
Liliana,F
Samantha,F
Maria,F
Iris,F
Ayla,F
Eloise,F
Lyla,F
Eliza,F
Hadley,F
Melody,F
Julia,F
Parker,F
Rose,F
Isabelle,F
Brielle,F
Adalynn,F
Arya,F
Eden,F
Remi,F
Mackenzie,F
Maeve,F
Margaret,F
Reagan,F
Charlie,F
Alaia,F
Melanie,F
Josie,F
Elliana,F
Cecilia,F
Mary,F
Daisy,F
Alina,F
Lucia,F
Ximena,F
Juniper,F
Kaylee,F
Magnolia,F
Summer,F
Adalyn,F
Sloane,F
Amara,F
Arianna,F
Isabel,F
Reese,F
Emersyn,F
Sienna,F
Kehlani,F
River,F
Freya,F
Valerie,F
Blakely,F
Genevieve,F
Esther,F
Valeria,F
Katherine,F
Kylie,F
Norah,F
Amaya,F
Bailey,F
Ember,F
Ryleigh,F
Georgia,F
Catalina,F
Emerson,F
Alexandra,F
Faith,F
Jasmine,F
Ariella,F
Ashley,F
Andrea,F
Millie,F
June,F
Khloe,F
Callie,F
Juliette,F
Sage,F
Ada,F
Anastasia,F
Olive,F
Alani,F
Brianna,F
Rosalie,F
Molly,F
Brynlee,F
Amy,F
Ruth,F
Aubree,F
Gemma,F
Taylor,F
Oakley,F
Margot,F
Arabella,F
Sara,F
Journee,F
Harmony,F
Blake,F
Alaina,F
Aspen,F
Noelle,F
Selena,F
Oaklynn,F
Morgan,F
Londyn,F
Zuri,F
Aliyah,F
Jordyn,F
Juliana,F
Finley,F
Presley,F
Zara,F
Leila,F
Marley,F
Sawyer,F
Amira,F
Lilly,F
London,F
Kimberly,F
Elsie,F
Ariel,F
Lila,F
Alana,F
Diana,F
Kamila,F
Nyla,F
Vera,F
Hope,F
Annie,F
Kaia,F
Myla,F
Alyssa,F
Angela,F
Ana,F
Lennon,F
Evangeline,F
Harlow,F
Rachel,F
Gracie,F
Rowan,F
Laila,F
Elise,F
Sutton,F
Lilah,F
Adelyn,F
Phoebe,F
Octavia,F
Sydney,F
Mariana,F
Wren,F
Lainey,F
Vanessa,F
Teagan,F
Kayla,F
Malia,F
Elaina,F
Saylor,F
Brooke,F
Lola,F
Miriam,F
Alayna,F
Adelaide,F
Daniela,F
Jane,F
Payton,F
Journey,F
Lilith,F
Delaney,F
Dakota,F
Mya,F
Charlee,F
Alivia,F
Annabelle,F
Kailani,F
Lucille,F
Trinity,F
Gia,F
Tatum,F
Raegan,F
Camille,F
Kaylani,F
Kali,F
Stevie,F
Maggie,F
Haven,F
Tessa,F
Daphne,F
Adaline,F
Hayden,F
Joanna,F
Jocelyn,F
Lena,F
Evie,F
Juliet,F
Fiona,F
Cataleya,F
Angelina,F
Leia,F
Paige,F
Julianna,F
Milani,F
